geo	year	month	backing_unsafely_mtd	brake_lights_defect_or_improper_mtd	bus_lane_driving_in_mtd	cell_phone_mtd	commercial_veh_on_pkwy_mtd	defective_brakes_mtd	disobey_sign_mtd	equipment_other_mtd	fail_to_keep_right_mtd	fail_to_signal_mtd	fail_to_stop_on_signal_mtd	following_too_closely_mtd	headlights_defect_or_improper_mtd	improper_lights_mtd	improper_passing_mtd	improper_turn_mtd	improper_missing_plates_mtd	not_giving_r_of_w_to_pedes_mtd	not_giving_r_of_w_to_veh_mtd	one_way_street_mtd	pavement_markings_mtd	safety_belt_mtd	school_bus_passing_stopped_mtd	speeding_mtd	spillback_mtd	tinted_windows_mtd	truck_routes_mtd	u_turn_mtd	uninspected_mtd	uninsured_mtd	unlicensed_operator_mtd	unregistered_mtd	unsafe_lane_change_mtd	other_movers_mtd	total_movers_mtd	backing_unsafely_ytd	brake_lights_defect_or_improper_ytd	bus_lane_driving_in_ytd	cell_phone_ytd	commercial_veh_on_pkwy_ytd	defective_brakes_ytd	disobey_sign_ytd	equipment_other_ytd	fail_to_keep_right_ytd	fail_to_signal_ytd	fail_to_stop_on_signal_ytd	following_too_closely_ytd	headlights_defect_or_improper_ytd	improper_lights_ytd	improper_passing_ytd	improper_turn_ytd	improper_missing_plates_ytd	not_giving_r_of_w_to_pedes_ytd	not_giving_r_of_w_to_veh_ytd	one_way_street_ytd	pavement_markings_ytd	safety_belt_ytd	school_bus_passing_stopped_ytd	speeding_ytd	spillback_ytd	tinted_windows_ytd	truck_routes_ytd	u_turn_ytd	uninspected_ytd	uninsured_ytd	unlicensed_operator_ytd	unregistered_ytd	unsafe_lane_change_ytd	other_movers_ytd	total_movers_ytd
62nd Precinct	2012	1	1	39	0	248	0	0	86	0	0	9	78	1	10	2	5	51	3	10	2	19	36	185	1	0	0	98	6	2	0	71	53	9	0	42	1067	1	39	0	248	0	0	86	0	0	9	78	1	10	2	5	51	3	10	2	19	36	185	1	0	0	98	6	2	0	71	53	9	0	42	1067
63rd Precinct	2012	1	2	0	0	177	0	0	139	0	2	3	37	0	0	0	8	42	0	12	0	2	10	146	4	5	2	70	2	0	0	3	25	0	2	9	702	2	0	0	177	0	0	139	0	2	3	37	0	0	0	8	42	0	12	0	2	10	146	4	5	2	70	2	0	0	3	25	0	2	9	702
66th Precinct	2012	1	1	22	0	119	0	0	137	0	0	19	22	0	5	0	0	54	3	13	2	0	1	197	2	8	0	23	36	0	5	87	58	8	0	41	863	1	22	0	119	0	0	137	0	0	19	22	0	5	0	0	54	3	13	2	0	1	197	2	8	0	23	36	0	5	87	58	8	0	41	863
67th Precinct	2012	1	2	33	0	154	0	0	52	0	0	22	50	0	76	0	2	0	7	0	1	2	10	147	2	0	2	394	22	22	51	129	81	13	3	57	1334	2	33	0	154	0	0	52	0	0	22	50	0	76	0	2	0	7	0	1	2	10	147	2	0	2	394	22	22	51	129	81	13	3	57	1334
68th Precinct	2012	1	0	16	0	137	0	0	56	0	0	3	43	1	43	0	0	84	0	11	0	1	0	86	0	3	0	34	20	5	0	51	41	2	2	8	647	0	16	0	137	0	0	56	0	0	3	43	1	43	0	0	84	0	11	0	1	0	86	0	3	0	34	20	5	0	51	41	2	2	8	647
69th Precinct	2012	1	0	101	0	134	0	0	48	2	0	0	25	0	66	17	15	90	4	7	5	0	12	100	1	19	1	57	4	0	6	81	48	18	0	20	881	0	101	0	134	0	0	48	2	0	0	25	0	66	17	15	90	4	7	5	0	12	100	1	19	1	57	4	0	6	81	48	18	0	20	881
70th Precinct	2012	1	2	0	0	375	0	0	133	0	1	1	71	1	0	91	4	207	1	23	8	19	0	199	2	10	6	162	0	0	5	100	106	34	9	180	1750	2	0	0	375	0	0	133	0	1	1	71	1	0	91	4	207	1	23	8	19	0	199	2	10	6	162	0	0	5	100	106	34	9	180	1750
71st Precinct	2012	1	5	117	0	216	0	0	379	0	0	48	87	1	121	0	10	72	5	18	8	6	69	142	1	16	1	230	0	2	26	156	146	36	1	19	1938	5	117	0	216	0	0	379	0	0	48	87	1	121	0	10	72	5	18	8	6	69	142	1	16	1	230	0	2	26	156	146	36	1	19	1938
72nd Precinct	2012	1	2	54	0	92	0	0	82	2	0	11	34	1	55	1	2	45	13	7	0	0	35	57	3	9	4	23	0	10	3	32	61	26	3	11	678	2	54	0	92	0	0	82	2	0	11	34	1	55	1	2	45	13	7	0	0	35	57	3	9	4	23	0	10	3	32	61	26	3	11	678
73rd Precinct	2012	1	1	175	0	183	0	0	122	6	0	37	44	0	115	0	5	31	16	4	8	6	46	86	2	20	11	145	0	0	72	172	114	21	2	26	1470	1	175	0	183	0	0	122	6	0	37	44	0	115	0	5	31	16	4	8	6	46	86	2	20	11	145	0	0	72	172	114	21	2	26	1470
75th Precinct	2012	1	5	48	0	124	0	0	117	0	0	54	75	0	38	11	7	36	4	8	0	3	42	222	1	18	2	419	3	0	84	235	147	57	8	616	2384	5	48	0	124	0	0	117	0	0	54	75	0	38	11	7	36	4	8	0	3	42	222	1	18	2	419	3	0	84	235	147	57	8	616	2384
76th Precinct	2012	1	0	26	0	194	0	1	12	6	0	8	9	0	24	0	1	33	0	0	0	10	27	169	0	0	3	32	6	0	1	15	16	1	2	14	610	0	26	0	194	0	1	12	6	0	8	9	0	24	0	1	33	0	0	0	10	27	169	0	0	3	32	6	0	1	15	16	1	2	14	610
77th Precinct	2012	1	2	32	0	136	0	0	82	18	0	3	72	1	25	0	3	0	1	0	0	3	0	69	2	18	6	85	1	2	1	42	51	13	3	12	683	2	32	0	136	0	0	82	18	0	3	72	1	25	0	3	0	1	0	0	3	0	69	2	18	6	85	1	2	1	42	51	13	3	12	683
78th Precinct	2012	1	4	12	0	116	0	0	12	1	0	12	81	1	23	0	4	1	0	7	0	1	20	37	3	22	5	113	3	0	0	7	16	5	4	19	529	4	12	0	116	0	0	12	1	0	12	81	1	23	0	4	1	0	7	0	1	20	37	3	22	5	113	3	0	0	7	16	5	4	19	529
79th Precinct	2012	1	4	73	0	104	0	0	330	1	0	0	58	0	49	0	7	62	13	2	5	3	8	70	0	1	3	71	14	30	16	33	47	28	0	12	1044	4	73	0	104	0	0	330	1	0	0	58	0	49	0	7	62	13	2	5	3	8	70	0	1	3	71	14	30	16	33	47	28	0	12	1044
81st Precinct	2012	1	3	58	0	193	0	3	46	1	0	24	22	1	69	0	3	9	0	4	2	1	2	150	1	0	14	99	0	3	2	62	67	12	0	5	856	3	58	0	193	0	3	46	1	0	24	22	1	69	0	3	9	0	4	2	1	2	150	1	0	14	99	0	3	2	62	67	12	0	5	856
83rd Precinct	2012	1	7	41	0	97	0	0	347	3	0	18	46	2	40	9	1	9	6	5	2	12	8	57	1	0	0	32	10	0	11	80	158	15	2	5	1024	7	41	0	97	0	0	347	3	0	18	46	2	40	9	1	9	6	5	2	12	8	57	1	0	0	32	10	0	11	80	158	15	2	5	1024
84th Precinct	2012	1	0	20	0	120	0	4	137	0	0	29	0	0	114	0	11	175	0	5	0	33	110	116	0	0	1	93	4	2	33	123	74	22	0	45	1271	0	20	0	120	0	4	137	0	0	29	0	0	114	0	11	175	0	5	0	33	110	116	0	0	1	93	4	2	33	123	74	22	0	45	1271
88th Precinct	2012	1	0	8	0	126	0	0	167	0	0	0	28	0	19	0	2	15	0	0	0	4	26	76	0	3	0	16	0	1	1	50	28	10	0	28	608	0	8	0	126	0	0	167	0	0	0	28	0	19	0	2	15	0	0	0	4	26	76	0	3	0	16	0	1	1	50	28	10	0	28	608
90th Precinct	2012	1	3	25	0	254	4	0	152	2	0	8	56	1	25	10	6	32	0	5	0	13	0	162	1	23	0	44	13	6	12	43	40	2	0	22	964	3	25	0	254	4	0	152	2	0	8	56	1	25	10	6	32	0	5	0	13	0	162	1	23	0	44	13	6	12	43	40	2	0	22	964
94th Precinct	2012	1	3	17	0	159	0	0	126	12	0	7	51	0	27	1	0	70	1	0	1	3	26	100	0	27	0	43	51	0	2	31	51	6	0	12	827	3	17	0	159	0	0	126	12	0	7	51	0	27	1	0	70	1	0	1	3	26	100	0	27	0	43	51	0	2	31	51	6	0	12	827
100th Precinct	2012	1	0	14	0	81	0	0	99	0	0	0	35	1	32	0	10	32	0	4	1	0	22	92	1	12	0	242	0	0	16	32	86	6	0	54	872	0	14	0	81	0	0	99	0	0	0	35	1	32	0	10	32	0	4	1	0	22	92	1	12	0	242	0	0	16	32	86	6	0	54	872
101st Precinct	2012	1	1	61	0	107	0	0	51	12	0	3	32	0	43	0	3	2	2	2	0	3	44	82	2	35	0	19	2	0	30	103	70	8	0	25	742	1	61	0	107	0	0	51	12	0	3	32	0	43	0	3	2	2	2	0	3	44	82	2	35	0	19	2	0	30	103	70	8	0	25	742
102nd Precinct	2012	1	0	21	0	148	0	0	169	0	0	6	22	0	13	0	3	25	1	5	1	2	4	141	1	2	0	68	5	1	4	66	41	8	0	8	765	0	21	0	148	0	0	169	0	0	6	22	0	13	0	3	25	1	5	1	2	4	141	1	2	0	68	5	1	4	66	41	8	0	8	765
103rd Precinct	2012	1	0	18	0	155	0	0	309	0	1	31	37	0	7	4	3	53	7	47	5	9	24	211	1	11	6	540	13	44	13	54	114	16	1	49	1783	0	18	0	155	0	0	309	0	1	31	37	0	7	4	3	53	7	47	5	9	24	211	1	11	6	540	13	44	13	54	114	16	1	49	1783
104th Precinct	2012	1	0	0	0	141	0	0	59	0	0	2	12	0	0	0	1	2	0	15	0	1	5	198	0	21	0	107	57	0	0	60	85	0	0	146	912	0	0	0	141	0	0	59	0	0	2	12	0	0	0	1	2	0	15	0	1	5	198	0	21	0	107	57	0	0	60	85	0	0	146	912
105th Precinct	2012	1	0	77	0	155	0	0	55	0	0	9	12	1	52	1	4	8	1	6	0	1	47	304	0	21	0	177	28	2	49	190	78	16	1	31	1326	0	77	0	155	0	0	55	0	0	9	12	1	52	1	4	8	1	6	0	1	47	304	0	21	0	177	28	2	49	190	78	16	1	31	1326
106th Precinct	2012	1	1	0	0	66	0	0	42	0	0	0	105	0	0	83	1	135	0	4	3	3	15	113	2	20	1	142	7	0	13	99	50	8	7	52	972	1	0	0	66	0	0	42	0	0	0	105	0	0	83	1	135	0	4	3	3	15	113	2	20	1	142	7	0	13	99	50	8	7	52	972
107th Precinct	2012	1	0	60	0	157	0	0	102	1	0	6	17	0	30	11	2	233	0	5	1	1	13	305	0	17	0	103	0	0	0	60	72	5	0	14	1215	0	60	0	157	0	0	102	1	0	6	17	0	30	11	2	233	0	5	1	1	13	305	0	17	0	103	0	0	0	60	72	5	0	14	1215
108th Precinct	2012	1	2	19	0	202	0	0	175	0	0	12	35	2	32	2	1	188	0	24	12	3	4	176	0	15	0	19	38	0	15	35	69	16	4	62	1162	2	19	0	202	0	0	175	0	0	12	35	2	32	2	1	188	0	24	12	3	4	176	0	15	0	19	38	0	15	35	69	16	4	62	1162
109th Precinct	2012	1	1	1	0	425	0	0	410	6	1	15	124	0	1	0	2	31	8	52	4	6	11	271	2	28	4	152	30	1	18	32	113	19	3	125	1896	1	1	0	425	0	0	410	6	1	15	124	0	1	0	2	31	8	52	4	6	11	271	2	28	4	152	30	1	18	32	113	19	3	125	1896
110th Precinct	2012	1	3	9	0	214	0	0	84	0	0	15	43	0	10	14	0	3	3	35	0	8	6	349	0	411	0	49	21	5	15	96	135	12	2	34	1576	3	9	0	214	0	0	84	0	0	15	43	0	10	14	0	3	3	35	0	8	6	349	0	411	0	49	21	5	15	96	135	12	2	34	1576
111th Precinct	2012	1	0	2	0	345	0	0	15	0	0	8	7	0	0	1	0	1	0	10	0	0	35	332	6	6	0	89	5	2	14	14	51	3	2	29	977	0	2	0	345	0	0	15	0	0	8	7	0	0	1	0	1	0	10	0	0	35	332	6	6	0	89	5	2	14	14	51	3	2	29	977
112th Precinct	2012	1	1	1	0	169	0	0	225	1	0	2	26	1	3	0	1	1	4	5	1	6	4	224	0	15	0	25	6	0	4	70	42	7	1	57	902	1	1	0	169	0	0	225	1	0	2	26	1	3	0	1	1	4	5	1	6	4	224	0	15	0	25	6	0	4	70	42	7	1	57	902
113th Precinct	2012	1	1	115	0	119	0	0	75	0	0	0	42	2	21	36	5	186	0	0	1	0	24	82	0	17	0	921	6	0	8	101	110	17	0	74	1963	1	115	0	119	0	0	75	0	0	0	42	2	21	36	5	186	0	0	1	0	24	82	0	17	0	921	6	0	8	101	110	17	0	74	1963
114th Precinct	2012	1	2	0	0	468	0	0	327	3	2	28	58	1	0	18	5	4	0	25	6	5	19	258	0	38	0	116	20	0	27	64	96	2	0	30	1622	2	0	0	468	0	0	327	3	2	28	58	1	0	18	5	4	0	25	6	5	19	258	0	38	0	116	20	0	27	64	96	2	0	30	1622
115th Precinct	2012	1	2	27	0	260	13	0	159	10	1	26	79	0	30	55	7	3	8	55	2	45	26	324	0	26	1	116	7	43	30	296	350	31	0	156	2188	2	27	0	260	13	0	159	10	1	26	79	0	30	55	7	3	8	55	2	45	26	324	0	26	1	116	7	43	30	296	350	31	0	156	2188
120th Precinct	2012	1	3	87	0	192	0	0	54	47	0	24	74	0	130	0	5	6	14	4	0	5	67	154	1	70	1	116	0	2	39	101	141	24	2	73	1436	3	87	0	192	0	0	54	47	0	24	74	0	130	0	5	6	14	4	0	5	67	154	1	70	1	116	0	2	39	101	141	24	2	73	1436
122nd Precinct	2012	1	0	96	0	236	5	1	124	14	0	36	23	2	90	0	5	0	17	8	6	6	29	126	10	42	1	147	2	8	8	70	69	18	6	160	1365	0	96	0	236	5	1	124	14	0	36	23	2	90	0	5	0	17	8	6	6	29	126	10	42	1	147	2	8	8	70	69	18	6	160	1365
123rd Precinct	2012	1	0	44	0	50	0	2	32	1	3	13	31	0	39	12	3	31	1	0	4	0	12	139	0	237	0	121	0	1	46	116	63	15	2	16	1034	0	44	0	50	0	2	32	1	3	13	31	0	39	12	3	31	1	0	4	0	12	139	0	237	0	121	0	1	46	116	63	15	2	16	1034
Citywide	2012	1	98	2675	1525	12610	101	24	13768	934	36	1194	3776	119	2907	445	406	6097	203	1253	195	454	1898	10583	123	6683	480	9531	765	356	1088	4878	5087	1048	337	5965	97642	98	2675	1525	12610	101	24	13768	934	36	1194	3776	119	2907	445	406	6097	203	1253	195	454	1898	10583	123	6683	480	9531	765	356	1088	4878	5087	1048	337	5965	97642
Transportation Bureau	2012	1	10	93	1509	1141	72	0	4597	619	2	288	615	76	102	3	164	1405	7	90	62	11	533	1004	10	4943	115	1731	63	2	133	270	542	131	81	2468	22892	10	93	1509	1141	72	0	4597	619	2	288	615	76	102	3	164	1405	7	90	62	11	533	1004	10	4943	115	1731	63	2	133	270	542	131	81	2468	22892
Housing Bureau	2012	1	0	2	0	0	0	0	2	0	0	0	2	0	1	0	0	0	3	0	0	1	0	1	0	0	0	0	0	1	0	1	4	0	0	2	20	0	2	0	0	0	0	2	0	0	0	2	0	1	0	0	0	3	0	0	1	0	1	0	0	0	0	0	1	0	1	4	0	0	2	20
Patrol Bureau	2012	1	88	2580	16	11469	29	24	9169	315	34	906	3159	43	2804	442	242	4692	193	1163	133	442	1365	9578	113	1740	365	7800	702	353	955	4607	4541	917	256	3495	74730	88	2580	16	11469	29	24	9169	315	34	906	3159	43	2804	442	242	4692	193	1163	133	442	1365	9578	113	1740	365	7800	702	353	955	4607	4541	917	256	3495	74730
Brooklyn North	2012	1	28	497	0	1496	4	7	1626	43	0	180	452	5	521	31	45	439	41	33	18	81	268	1108	8	110	37	1047	96	44	234	871	777	186	15	783	11131	28	497	0	1496	4	7	1626	43	0	180	452	5	521	31	45	439	41	33	18	81	268	1108	8	110	37	1047	96	44	234	871	777	186	15	783	11131
Brooklyn South	2012	1	19	445	0	2225	0	1	1287	13	3	147	573	8	444	112	53	739	39	143	33	63	246	1748	19	104	24	1450	122	46	98	795	699	156	32	476	12362	19	445	0	2225	0	1	1287	13	3	147	573	8	444	112	53	739	39	143	33	63	246	1748	19	104	24	1450	122	46	98	795	699	156	32	476	12362
Bronx	2012	1	10	284	0	994	3	0	1055	66	13	78	279	8	504	3	13	707	15	16	7	11	139	892	28	314	10	1462	26	42	97	572	628	148	14	259	8697	10	284	0	994	3	0	1055	66	13	78	279	8	504	3	13	707	15	16	7	11	139	892	28	314	10	1462	26	42	97	572	628	148	14	259	8697
Manhattan North	2012	1	7	440	2	1710	4	13	1201	66	3	115	461	3	400	8	61	556	18	489	11	90	183	965	29	160	12	325	168	48	67	359	320	90	41	351	8776	7	440	2	1710	4	13	1201	66	3	115	461	3	400	8	61	556	18	489	11	90	183	965	29	160	12	325	168	48	67	359	320	90	41	351	8776
Manhattan South	2012	1	7	262	14	1354	0	0	1434	32	7	150	580	9	402	51	9	1307	14	176	17	93	118	984	3	8	268	247	43	64	110	351	282	106	123	431	9056	7	262	14	1354	0	0	1434	32	7	150	580	9	402	51	9	1307	14	176	17	93	118	984	3	8	268	247	43	64	110	351	282	106	123	431	9056
Queens North	2012	1	11	59	0	2224	13	0	1454	20	4	108	384	4	76	90	17	233	23	221	25	74	110	2132	8	560	5	673	184	51	123	667	941	90	12	639	11235	11	59	0	2224	13	0	1454	20	4	108	384	4	76	90	17	233	23	221	25	74	110	2132	8	560	5	673	184	51	123	667	941	90	12	639	11235
Queens South	2012	1	3	366	0	988	0	0	902	13	1	55	302	4	198	135	31	674	11	73	12	19	193	1330	7	135	7	2212	61	47	133	705	621	84	9	307	9638	3	366	0	988	0	0	902	13	1	55	302	4	198	135	31	674	11	73	12	19	193	1330	7	135	7	2212	61	47	133	705	621	84	9	307	9638
Staten Island	2012	1	3	227	0	478	5	3	210	62	3	73	128	2	259	12	13	37	32	12	10	11	108	419	11	349	2	384	2	11	93	287	273	57	10	249	3835	3	227	0	478	5	3	210	62	3	73	128	2	259	12	13	37	32	12	10	11	108	419	11	349	2	384	2	11	93	287	273	57	10	249	3835
Transit Bureau	2012	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1st Precinct	2012	2	1	42	35	172	0	0	166	20	0	3	54	1	77	2	5	61	0	9	1	8	10	112	4	7	0	35	0	0	6	71	40	9	3	38	992	1	88	43	348	0	0	297	37	0	8	121	1	148	7	8	103	4	33	2	17	47	199	4	11	2	102	0	3	9	122	75	21	10	72	1943
5th Precinct	2012	2	1	8	0	39	0	0	273	3	0	10	22	0	33	0	4	151	0	14	4	1	21	29	3	12	2	19	0	13	0	10	22	15	7	74	790	1	20	0	82	0	0	485	6	0	12	63	2	73	0	7	290	0	20	11	9	33	56	4	12	16	37	0	19	0	28	50	20	12	117	1485
6th Precinct	2012	2	0	6	0	160	0	0	111	0	1	0	35	0	42	1	0	96	0	9	1	3	88	156	7	4	0	0	0	3	0	6	18	1	1	11	760	1	23	0	311	0	0	217	1	1	1	91	1	70	1	0	126	1	19	1	3	114	281	7	4	0	3	0	7	1	18	35	1	3	17	1359
7th Precinct	2012	2	0	0	0	143	0	0	60	0	0	4	57	0	0	22	1	92	0	19	0	0	0	78	16	0	30	52	11	0	2	2	15	1	0	39	644	0	0	0	253	0	0	159	0	1	6	124	2	0	54	1	207	0	34	1	0	0	130	17	0	58	78	18	0	10	23	33	3	2	59	1273
9th Precinct	2012	2	0	5	0	169	0	0	178	2	0	12	103	0	2	0	1	42	0	24	1	0	0	57	7	1	0	6	0	2	0	38	25	2	8	65	750	2	11	1	314	0	0	310	6	0	19	201	0	6	0	2	102	0	44	3	5	1	107	7	2	0	17	0	2	1	61	46	3	16	118	1407
10th Precinct	2012	2	2	27	0	128	0	0	55	0	0	8	21	0	32	5	0	45	0	15	0	11	1	238	9	3	4	36	13	2	24	30	41	9	5	68	832	3	50	0	301	0	0	121	0	3	18	51	1	68	19	1	124	0	29	0	18	3	436	9	6	9	62	20	5	70	58	81	24	19	119	1728
13th Precinct	2012	2	0	20	1	69	0	0	252	4	0	3	32	0	18	0	0	122	0	10	3	15	4	32	33	0	32	2	0	0	2	35	25	15	3	25	757	0	41	5	162	0	0	444	8	0	9	103	1	29	0	0	220	0	20	7	26	9	41	33	0	74	7	1	0	4	63	54	32	5	48	1446
MTS Precinct	2012	2	3	42	0	180	0	0	401	0	0	46	42	0	112	0	0	207	0	85	0	7	2	241	0	0	158	32	5	51	15	76	42	12	14	106	1879	4	93	0	402	0	0	654	0	0	77	89	1	244	0	0	423	8	150	0	43	3	494	0	0	290	103	32	96	52	129	86	29	25	208	3735
17th Precinct	2012	2	0	45	13	84	0	5	64	0	0	72	52	0	26	1	0	72	0	14	1	1	9	63	19	0	19	7	0	0	2	96	30	13	46	37	791	0	103	14	164	0	5	114	3	0	136	105	1	71	1	1	203	1	24	1	1	29	117	20	0	41	15	0	0	6	183	47	38	104	83	1631
MTN Precinct	2012	2	1	39	0	150	0	0	210	0	3	25	52	0	17	0	2	461	1	9	0	29	4	177	18	0	3	21	0	2	7	72	32	20	5	88	1448	3	67	0	311	0	0	403	0	6	47	102	0	52	0	2	858	1	11	2	46	18	306	18	0	26	33	1	5	15	102	65	32	19	141	2692
19th Precinct	2012	2	1	97	4	163	0	1	279	0	0	14	136	1	46	0	0	261	3	61	2	33	3	66	22	10	4	53	3	3	9	62	53	13	16	30	1449	3	203	6	297	1	11	533	8	0	20	306	1	96	0	1	429	9	172	2	80	29	146	22	11	8	105	4	5	33	141	113	39	23	63	2920
20th Precinct	2012	2	0	24	0	229	0	0	106	11	0	15	51	0	44	2	0	11	2	11	0	18	7	91	20	2	2	22	23	1	0	26	17	5	7	32	779	0	42	0	487	0	0	198	13	0	35	116	1	79	2	0	19	5	51	1	43	16	203	40	2	3	26	49	3	2	44	37	8	12	63	1600
Central Park Precinct	2012	2	0	12	0	68	4	0	78	0	0	15	23	0	15	0	3	53	0	4	1	0	8	13	11	24	0	40	1	0	7	21	8	9	1	2	421	1	18	0	125	7	0	181	3	0	20	60	0	35	0	10	126	3	22	1	1	21	20	11	36	0	81	2	4	19	50	19	17	1	15	909
23rd Precinct	2012	2	0	66	0	236	0	0	5	3	0	3	15	1	26	0	0	6	0	29	0	8	0	126	28	4	0	3	0	0	0	15	9	2	0	5	590	0	140	0	483	0	0	23	3	0	5	30	1	74	0	0	15	0	48	1	13	2	246	28	8	0	4	0	0	0	32	21	4	2	14	1197
24th Precinct	2012	2	2	13	0	133	0	0	121	2	0	11	12	0	23	0	0	1	0	11	0	6	1	56	19	7	0	8	1	0	0	17	16	4	4	54	522	5	28	0	304	0	0	278	4	0	15	27	0	40	0	0	12	0	41	0	9	2	96	21	7	0	20	5	0	0	37	33	11	7	94	1096
25th Precinct	2012	2	0	28	0	129	0	11	7	5	0	1	6	0	21	0	0	91	3	2	0	3	17	187	21	3	2	7	41	3	5	8	21	7	0	36	665	0	50	0	229	0	11	24	6	0	3	20	0	48	5	0	216	5	19	0	4	39	379	21	3	2	24	78	3	9	24	43	11	0	82	1358
26th Precinct	2012	2	1	40	0	159	0	2	27	0	1	0	33	0	49	1	0	59	3	20	10	4	42	43	17	81	32	24	0	11	0	45	31	10	15	56	816	1	86	0	253	0	5	55	0	3	4	57	0	103	1	1	95	3	63	16	4	74	76	21	183	38	66	0	17	0	74	54	15	17	89	1474
28th Precinct	2012	2	2	42	0	123	0	0	102	2	0	5	25	1	11	0	0	6	1	4	1	0	1	104	17	27	0	23	5	34	0	23	15	2	1	52	629	2	70	0	191	0	0	156	20	1	8	39	2	24	0	0	17	1	39	1	0	3	141	17	27	1	42	6	53	0	49	32	7	1	80	1030
30th Precinct	2012	2	3	26	0	142	0	2	109	2	0	0	55	0	15	0	9	45	4	20	1	2	19	96	26	24	0	21	29	0	0	16	27	3	1	17	714	3	43	0	248	0	2	250	16	0	25	108	0	34	1	60	104	4	59	2	2	49	150	26	42	0	29	72	2	2	29	61	4	1	46	1474
32nd Precinct	2012	2	4	51	0	165	0	2	195	8	0	20	18	0	80	0	0	23	2	13	0	0	46	83	22	39	3	53	29	3	5	53	40	18	12	31	1018	5	80	0	363	0	2	370	19	0	59	56	1	123	1	0	55	3	53	1	6	88	202	24	47	3	147	59	11	23	113	99	28	34	78	2153
33rd Precinct	2012	2	0	34	0	214	0	4	55	5	1	7	9	0	31	0	0	3	1	8	0	1	0	192	23	54	1	46	29	5	0	33	34	9	0	13	812	0	68	0	381	0	4	122	10	1	10	10	0	68	1	0	18	4	68	1	3	0	291	23	66	1	73	54	7	5	69	59	25	0	22	1464
34th Precinct	2012	2	1	56	0	96	0	0	55	3	3	2	12	0	41	0	1	15	1	5	0	2	0	84	29	9	0	12	1	0	1	7	16	4	0	37	493	1	101	0	206	0	0	150	5	3	4	27	0	78	0	2	24	1	42	0	2	4	156	30	12	0	20	1	3	1	23	36	7	0	70	1009
40th Precinct	2012	2	6	6	0	136	0	1	66	0	5	20	64	11	8	1	1	114	0	24	28	0	47	57	7	71	3	425	0	7	0	52	105	8	4	22	1299	8	9	0	230	0	1	95	0	11	23	107	16	10	1	6	183	0	24	33	1	80	126	11	90	3	855	0	9	0	95	182	18	7	39	2273
41st Precinct	2012	2	2	24	0	50	0	0	232	4	0	2	23	1	29	0	0	47	4	4	4	3	32	76	9	34	6	43	7	3	5	60	56	17	7	12	796	2	48	0	92	0	0	385	6	0	9	50	1	70	0	1	107	5	4	5	4	50	111	9	67	6	83	23	6	10	123	91	26	9	31	1434
42nd Precinct	2012	2	0	3	0	87	0	0	80	0	0	0	101	0	1	3	0	184	0	9	4	0	19	100	27	9	0	64	1	0	10	17	42	14	1	29	805	0	7	0	192	0	0	118	0	0	2	164	0	3	3	0	315	0	9	4	1	33	179	44	23	0	175	1	0	18	54	80	32	2	49	1508
43rd Precinct	2012	2	2	144	0	53	1	0	42	4	0	16	30	0	229	1	0	69	4	6	3	1	19	115	3	0	4	46	2	18	3	15	67	7	5	65	974	5	217	0	93	3	0	91	6	7	28	80	0	469	2	0	149	5	6	3	2	37	216	5	32	4	117	3	31	4	27	157	17	7	106	1929
44th Precinct	2012	2	3	20	0	105	0	5	270	21	1	5	11	1	38	0	1	4	13	2	0	0	12	156	3	16	0	108	0	14	10	37	79	15	3	17	970	5	64	0	209	0	5	543	56	1	17	20	1	81	1	1	11	20	2	0	1	25	251	4	23	1	170	0	18	18	93	161	43	4	30	1879
45th Precinct	2012	2	0	13	0	69	0	8	32	0	0	1	20	0	5	0	1	5	0	0	0	1	9	50	4	24	0	56	0	3	1	19	25	1	0	3	350	0	30	0	111	0	8	54	1	0	2	32	0	9	0	1	5	1	0	0	2	12	99	4	33	0	68	0	3	2	31	34	3	0	6	551
46th Precinct	2012	2	1	9	0	139	0	7	65	31	0	8	19	1	34	0	0	17	0	1	2	1	10	109	0	4	0	125	0	1	2	86	45	15	2	90	824	3	22	0	240	0	7	145	37	0	12	39	1	55	1	1	19	0	1	2	2	15	130	2	14	0	308	0	7	4	169	86	26	5	164	1517
47th Precinct	2012	2	0	18	0	65	0	0	7	0	0	0	6	0	27	0	0	15	0	8	0	0	2	146	4	6	0	145	0	0	6	105	47	17	1	5	630	0	34	0	132	0	0	19	0	0	0	13	0	59	0	0	32	0	11	0	0	3	321	4	23	0	327	0	0	28	227	88	37	1	12	1371
48th Precinct	2012	2	0	2	0	147	0	0	28	0	0	1	21	1	6	0	2	44	2	5	0	2	10	80	5	177	6	217	0	7	1	8	55	10	0	15	852	0	4	0	264	0	0	57	0	0	5	35	4	12	0	6	121	2	12	0	5	11	161	5	335	12	351	1	16	1	13	97	16	0	18	1564
